source,target,company,similarity
stein ben forester,sternberg zach,CIGI,12.7551
agrawal kailas,atwater mark,ID,6.66888
agrawal kailas,ciappina antonino,ID,6.66888
agrawal kailas,roy ajay,ID,4.69806
atwater mark,ciappina antonino,ID,6.66888
atwater mark,roy ajay,ID,4.69806
ciappina antonino,roy ajay,ID,4.69806
noone patrick donnell,vanasek james thomas,BZC,4.20384
mcjunkin jameson j,patterson thomas,VIEW,7.36735
mcjunkin jameson j,penner gregory boyd,VIEW,7.36735
patterson thomas,penner gregory boyd,VIEW,7.36735
flynn timothy john,galashan john kristofer,TCS,15.7722
flynn timothy john,sokoloff jonathan d,TCS,15.7722
galashan john kristofer,sokoloff jonathan d,TCS,15.7722
mehta vimal,yocca frank,BTAI,2.17949
steinhart richard i,yocca frank,BTAI,3.33333
bedrick bruce,lowe j. mitchell,MDBX,9.64135
bedrick bruce,mehdizadeh p vincent,MDBX,6.87794
bedrick bruce,siegel ned l,MDBX,9.68538
lowe j. mitchell,mehdizadeh p vincent,MDBX,15.8427
lowe j. mitchell,siegel ned l,MDBX,22.2354
mehdizadeh p vincent,siegel ned l,MDBX,16.6421
levy ron,poutre michael,CRCW,3.14558
landmann laird,rivelle tad,TSI,5.42341
ku tzu sheng,wang stewart,tait,4.00043
cloobeck stephen j,kraff lowell d,DRII,11.0335
kolchinsky peter,shah rajeev m.,FULC,6.17878
kirsch jeremy,laskey alexander,OPWR,4.20542
laskey alexander,mcphee rick,OPWR,2.10266
laskey alexander,yates daniel,OPWR,2.48061
koski beverly,koski christine l,OGEN,10.7959
koski beverly,koski robert c,OGEN,10.1609
koski beverly,koski thomas l,OGEN,10.7959
koski christine l,koski robert c,OGEN,10.1609
koski christine l,koski thomas l,OGEN,10.7959
koski robert c,koski thomas l,OGEN,10.1609
bradbury daniel,maetzold derek j,CSTL,2.38385
liu david,roney carley,XOXO,2.28647
hymers robert leslie iii,larsen charles john,MCOA,3.15904
huberman jonathan,van haeren geoffrey,NOGN,2.2351
mule edward a,o'shea robert j,GPOR,2.14766
ogur scott matthew,venegas zachary l,HLIX,5.34613
hayes anthony,wool kyle michael,AIKI,11.8401
hayes anthony,yu soo,AIKI,11.8401
wool kyle michael,yu soo,AIKI,16.3832
holmes chad m,maleh paul a,CRAI,3.13095
bell ronald s.,goldman kenneth a,YHOO,2.87953
martire frank r,stout lonnie j ii,JAX,6.29592
o'dowd william iv,stanham nicholas,DPDM,8.72566
gross michael s,spohler bruce j,SLRC,2.40754
shoen edward j,shoen mark v,UHAL,2.26291
moorin jay,schreiber alain,EGRX,7.59059
jasinski lawrence j,o'connor john james,LMAT,2.58867
jasinski lawrence j,ross bridget a,LMAT,2.91195
jasinski lawrence j,roush john a,LMAT,3.08626
kamke trent g,lemaitre george w,LMAT,2.00525
kamke trent g,pellegrino joseph p jr,LMAT,2.42541
kamke trent g,roberts david b,LMAT,2.64207
lemaitre george w,roberts david b,LMAT,2.19967
o'connor john james,ross bridget a,LMAT,2.99174
o'connor john james,roush john a,LMAT,3.18568
pellegrino joseph p jr,roberts david b,LMAT,2.27644
ross bridget a,roush john a,LMAT,3.53922
ross bridget a,shadan martha,LMAT,2.547
roush john a,shadan martha,LMAT,2.24518
galley patrick w.,schmucker brian h,RIV RT,4.90072
wedell-wedellsborg johan,wg biotech aps,YMAB,4.94835
kunin audrey,kunin jeffrey,NBY,7.20408
czernik marcin,hadjimichael amalia,KPTI,9.39995
czernik marcin,hadjimichael andreas,KPTI,9.39995
czernik marcin,smolokowski wiaczeslaw,KPTI,9.39995
hadjimichael amalia,hadjimichael andreas,KPTI,9.39995
hadjimichael amalia,smolokowski wiaczeslaw,KPTI,9.39995
hadjimichael andreas,smolokowski wiaczeslaw,KPTI,9.39995
dell michael s,lemkau gregg,TSQ,6.85941
dell michael s,lisker marc r,TSQ,6.85941
lemkau gregg,lisker marc r,TSQ,6.85941
humenik delbert m,shchegolev oleg,SEMR,3.1939
levin eugenie,shchegolev oleg,SEMR,2.09461
dahl james h,lancaster rainey e.,AXR,9.87755
jewell christopher m,kurtoglu metin,RNAC,3.32908
mule edward a,o'shea robert j,CPS,14.3316
green scott a.,potts michael j,OESX,3.5252
mindich jeremy,sirovich matthew,ACOR,17.0757
bosworth andrew,clegg nicholas,META,2.68345
agnaten se,lucresca se,KDP,2.06122
durban egon,emanuel ariel,TKO,6.98469
durban egon,whitesell patrick,TKO,8.38163
emanuel ariel,whitesell patrick,TKO,8.38163
blackie james,vattuone steven,ONTF,2.32344
singer julian d.,thekkethala thomas,EVOL,9.90949
dungan david n,fernandez ted a,HCKT,2.5887
smith patrick g,yakov ronny,OLB,2.24518
harrison dean m,thompson donald,NTRS,2.72886
harrison dean m,tribbett charles a,NTRS,2.95627
richards thomas e,tribbett charles a,NTRS,2.29932
schreuder jana r,st clair joyce,NTRS,2.06589
schreuder jana r,waddell frederick h,NTRS,3.19162
st clair joyce,waddell frederick h,NTRS,2.0927
thompson donald,tribbett charles a,NTRS,2.21088
cohen stephen brad,fishman kalman,SRTS,3.33367
cohen stephen brad,golin richard,SRTS,3.33367
cohen stephen brad,sardano joseph c,SRTS,11.0218
fishman kalman,golin richard,SRTS,8.00082
fishman kalman,sardano joseph c,SRTS,3.63673
golin richard,sardano joseph c,SRTS,3.63673
jaffe david,pollack bruce g,LCUT,9.15652
gerrald thomas a. ii,matheys heidi j.,VVV,2.62147
gerrald thomas a. ii,mitchell samuel j,VVV,2.66049
gerrald thomas a. ii,moughler craig a.,VVV,2.25349
gerrald thomas a. ii,muashsher jamal k,VVV,2.21334
gerrald thomas a. ii,o'daniel julie marie,VVV,2.13003
gerrald thomas a. ii,puckett anthony r.,VVV,2.35555
lockwood frances e.,puckett anthony r.,VVV,2.05038
matheys heidi j.,mitchell samuel j,VVV,2.5686
matheys heidi j.,moughler craig a.,VVV,2.17284
matheys heidi j.,muashsher jamal k,VVV,2.07932
matheys heidi j.,puckett anthony r.,VVV,2.28039
meixelsperger mary e,o'daniel julie marie,VVV,2.57871
mitchell samuel j,moughler craig a.,VVV,2.12385
mitchell samuel j,puckett anthony r.,VVV,2.03587
moughler craig a.,puckett anthony r.,VVV,3.40207
dimaggio leslie,giles bruce wayne,AFH,4.5624
dimaggio leslie,romano paul anthony jr,AFH,4.42618
dimaggio leslie,shugrue joseph raymond,AFH,4.5624
dimaggio leslie,wollney scott d,AFH,4.42618
giles bruce wayne,romano paul anthony jr,AFH,4.42618
giles bruce wayne,shugrue joseph raymond,AFH,4.5624
giles bruce wayne,wollney scott d,AFH,4.42618
romano paul anthony jr,shugrue joseph raymond,AFH,4.42618
romano paul anthony jr,wollney scott d,AFH,4.67832
shugrue joseph raymond,wollney scott d,AFH,4.42618
arnold richard s. jr.,lang scott a.,SSNI,2.00811
arnold richard s. jr.,stynes theresa,SSNI,2.5517
lang scott a.,reeves donald l. iii,SSNI,2.48824
lang scott a.,stynes theresa,SSNI,3.23865
reeves donald l. iii,stynes theresa,SSNI,3.11777
stynes theresa,vaswani raj,SSNI,2.01692
devaul william,tipirneni praveen p.,MORF,3.11111
farrell robert e jr,lugovskoy alexey,MORF,8.26384
aronson jeffrey,gallogly mark t,SC,6.93086
eisenman randy,grafer john richard,LOVE,4.3913
eisenman randy,vanderbeck sunny,LOVE,4.27007
grafer john richard,vanderbeck sunny,LOVE,4.3913
boylan peter c,stephenson cc jr,CELP,7.70346
braverman alan n,mayer kevin a,DIS,2.57849
braverman alan n,mccarthy christine m,DIS,5.29071
braverman alan n,mucha zenia b.,DIS,4.05166
braverman alan n,parker mary jayne,DIS,5.23926
braverman alan n,woodford brent,DIS,4.33815
chapek robert a,mucha zenia b.,DIS,2.71259
coleman sonia l,gutierrez horacio e,DIS,2.93231
mayer kevin a,mccarthy christine m,DIS,2.50329
mayer kevin a,parker mary jayne,DIS,2.74612
mccarthy christine m,mucha zenia b.,DIS,2.59293
mccarthy christine m,parker mary jayne,DIS,4.11455
mccarthy christine m,woodford brent,DIS,3.82312
mucha zenia b.,parker mary jayne,DIS,2.32834
mucha zenia b.,woodford brent,DIS,2.11578
parker mary jayne,woodford brent,DIS,3.18037
